Source,Target,Type,Weight
HERMIONE,HERMIONE,Undirected,3
ALBUS,HERMIONE,Undirected,58
ALBUS,ROSE,Undirected,36
MOANING MYRTLE,PROFESSOR McGONAGALL,Undirected,3
HARRY,HERMIONE,Undirected,69
RON,VOLDEMORT,Undirected,1
DUDLEY DURSLEY,HARRY,Undirected,1
GUARD,HERMIONE,Undirected,1
SCORPIUS,SNAPE,Undirected,46
HAGRID,SCORPIUS,Undirected,1
CRAIG BOWKER JR.,POLLY CHAPMAN,Undirected,1
HARRY,MOANING MYRTLE,Undirected,7
ALBUS,CRAIG BOWKER JR.,Undirected,3
CRAIG BOWKER JR.,DELPHI,Undirected,1
DELPHI,VOLDEMORT,Undirected,21
ALBUS,KARL JENKINS,Undirected,2
HARRY,JAMES,Undirected,5
DOLORES UMBRIDGE,SNAPE,Undirected,10
ALBUS,VOLDEMORT,Undirected,2
ALBUS,POLLY CHAPMAN,Undirected,4
ALBUS,MADAM HOOCH,Undirected,2
RON,RON,Undirected,2
HARRY,LILY,Undirected,4
GINNY,LILY,Undirected,5
BOOK,SCORPIUS,Undirected,5
GINNY,HERMIONE,Undirected,17
HERMIONE,SCORPIUS,Undirected,28
LUDO BAGMAN,SCORPIUS,Undirected,12
AUNT PETUNIA,UNCLE VERNON,Undirected,3
SCORPIUS,YOUNG HERMIONE,Undirected,2
ALBUS,CEDRIC,Undirected,7
ALBUS,SNAPE,Undirected,1
DELPHI,MYSTERIOUS VOICE,Undirected,1
HARRY,TROLLEY WITCH,Undirected,1
ALBUS,RON,Undirected,27
ALBUS,LUDO BAGMAN,Undirected,8
ALBUS,PROFESSOR McGONAGALL,Undirected,9
KARL JENKINS,MADAM HOOCH,Undirected,1
DELPHI,SCORPIUS,Undirected,85
POLLY CHAPMAN,SORTING HAT,Undirected,3
DRACO,MOANING MYRTLE,Undirected,2
DRACO,GINNY,Undirected,23
PROFESSOR McGONAGALL,RON,Undirected,2
AMOS,SCORPIUS,Undirected,3
AUNT PETUNIA,YOUNG HARRY,Undirected,17
HERMIONE,RON,Undirected,107
SCORPIUS,STATIONMASTER,Undirected,3
BOOK,HARRY,Undirected,5
HARRY,RON,Undirected,38
CRAIG BOWKER JR.,PROFESSOR McGONAGALL,Undirected,2
GINNY,RON,Undirected,19
HERMIONE,POLLY CHAPMAN,Undirected,2
KARL JENKINS,YANN FREDERICKS,Undirected,3
CRAIG BOWKER JR.,SCORPIUS,Undirected,10
AUNT PETUNIA,DUDLEY DURSLEY,Undirected,1
AMOS,DRACO,Undirected,7
ALBUS,HARRY,Undirected,226
DUMBLEDORE,HARRY,Undirected,44
DELPHI,LUDO BAGMAN,Undirected,3
BOOK,DELPHI,Undirected,1
LILY,SORTING HAT,Undirected,1
ALBUS,STATIONMASTER,Undirected,1
AUNT PETUNIA,VOLDEMORT,Undirected,2
BANE,HARRY,Undirected,22
ALBUS,YOUNG HERMIONE,Undirected,2
ALBUS,LILY,Undirected,5
ROSE,SORTING HAT,Undirected,3
HARRY,LUDO BAGMAN,Undirected,1
AMOS,HARRY,Undirected,25
LILY,VOLDEMORT,Undirected,5
SCORPIUS,SORTING HAT,Undirected,1
DOLORES UMBRIDGE,SCORPIUS,Undirected,26
SCORPIUS,VOLDEMORT,Undirected,1
LIBRARIAN,SCORPIUS,Undirected,1
HERMIONE,LUDO BAGMAN,Undirected,1
JAMES,RON,Undirected,1
GINNY,HARRY,Undirected,139
LILY,RON,Undirected,8
ALBUS,MOANING MYRTLE,Undirected,13
ALBUS,LIBRARIAN,Undirected,1
ROSE,TROLLEY WITCH,Undirected,1
DRACO,RON,Undirected,16
AUNT PETUNIA,HARRY,Undirected,2
BOOK,HERMIONE,Undirected,1
GUARD,HARRY,Undirected,1
ROSE,SCORPIUS,Undirected,19
HARRY,PROFESSOR McGONAGALL,Undirected,38
DELPHI,DRACO,Undirected,2
GINNY,PROFESSOR McGONAGALL,Undirected,10
DELPHI,WOOL WOMAN,Undirected,1
DRACO,DRACO,Undirected,2
RON,SNAPE,Undirected,8
AUNT PETUNIA,SCORPIUS,Undirected,1
GINNY,VOLDEMORT,Undirected,1
ROSE,YANN FREDERICKS,Undirected,2
DUDLEY DURSLEY,UNCLE VERNON,Undirected,1
MOANING MYRTLE,SCORPIUS,Undirected,11
JAMES,VOLDEMORT,Undirected,1
DELPHI,RON,Undirected,20
HERMIONE,TELEPHONE BOX,Undirected,2
HARRY,TELEPHONE BOX,Undirected,1
ALBUS,DRACO,Undirected,7
PROFESSOR McGONAGALL,SCORPIUS,Undirected,7
LUDO BAGMAN,RON,Undirected,1
ALBUS,YANN FREDERICKS,Undirected,2
ALBUS,BOOK,Undirected,4
HARRY,SCORPIUS,Undirected,16
GINNY,SCORPIUS,Undirected,5
SCORPIUS,SCORPIUS,Undirected,4
MADAM HOOCH,YANN FREDERICKS,Undirected,2
HAGRID,UNCLE VERNON,Undirected,3
ALBUS,ALBUS,Undirected,4
DRACO,PROFESSOR McGONAGALL,Undirected,7
AMOS,HERMIONE,Undirected,1
AMOS,DELPHI,Undirected,12
DELPHI,TELEPHONE BOX,Undirected,1
MADAM HOOCH,ROSE,Undirected,3
RON,SCORPIUS,Undirected,35
RON,ROSE,Undirected,2
BOOK,RON,Undirected,4
HAGRID,VOLDEMORT,Undirected,1
DRACO,HARRY,Undirected,86
PROFESSOR McGONAGALL,PROFESSOR McGONAGALL,Undirected,1
GINNY,HAGRID,Undirected,1
HARRY,ROSE,Undirected,1
VOLDEMORT,YOUNG HARRY,Undirected,1
CEDRIC,SCORPIUS,Undirected,6
ALBUS,TROLLEY WITCH,Undirected,7
HERMIONE,PROFESSOR McGONAGALL,Undirected,22
HERMIONE,SNAPE,Undirected,29
LUDO BAGMAN,SNAPE,Undirected,2
CRAIG BOWKER JR.,HARRY,Undirected,3
GINNY,JAMES,Undirected,4
ALBUS,AMOS,Undirected,20
DRACO,HERMIONE,Undirected,26
DRACO,TELEPHONE BOX,Undirected,1
ALBUS,DELPHI,Undirected,92
ALBUS,SCORPIUS,Undirected,398
DELPHI,GINNY,Undirected,2
HERMIONE,YANN FREDERICKS,Undirected,1
SCORPIUS,TROLLEY WITCH,Undirected,5
DRACO,SCORPIUS,Undirected,39
GUARD,SCORPIUS,Undirected,1
UNCLE VERNON,YOUNG HARRY,Undirected,1
HERMIONE,ROSE,Undirected,3
DELPHI,HERMIONE,Undirected,7
DUDLEY DURSLEY,HAGRID,Undirected,1
CEDRIC,MYSTERIOUS VOICE,Undirected,1
LUDO BAGMAN,YOUNG HERMIONE,Undirected,2
HAGRID,YOUNG HARRY,Undirected,13
ALBUS,WOOL WOMAN,Undirected,1
ALBUS,DUMBLEDORE,Undirected,1
DRACO,DUMBLEDORE,Undirected,1
ALBUS,JAMES,Undirected,3
POLLY CHAPMAN,SCORPIUS,Undirected,11
HARRY,HARRY,Undirected,3
DELPHI,GUARD,Undirected,1
ALBUS,GINNY,Undirected,19
KARL JENKINS,POLLY CHAPMAN,Undirected,3
DELPHI,HARRY,Undirected,46
KARL JENKINS,SCORPIUS,Undirected,1
